날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-01,108,-2.2,-6.5,0.3
2020-01-02,108,1,-0.7,3.8
2020-01-03,108,-0.1,-3.4,4.6
2020-01-04,108,1.2,-2.8,6.1
2020-01-05,108,1.3,-3.2,6.6
2020-01-06,108,3.1,0.6,4.6
2020-01-07,108,6.3,4.2,7.7
2020-01-08,108,2.4,-0.4,8.9
2020-01-09,108,-1.2,-3.1,2
2020-01-10,108,-0.6,-4.3,4.2
2020-01-11,108,-0.1,-2.6,3.9
2020-01-12,108,-1,-3.5,2.8
2020-01-13,108,-2.9,-4.7,0.2
2020-01-14,108,-2.3,-5.7,2.6
2020-01-15,108,-2.7,-6.4,2.2
2020-01-16,108,-1.7,-5.5,3.2
2020-01-17,108,-0.6,-4.8,4.9
2020-01-18,108,0.3,-4.1,5.9
2020-01-19,108,1.9,-0.4,5.3
2020-01-20,108,0.7,-3.3,5.5
2020-01-21,108,-0.4,-5.6,5.5
2020-01-22,108,3,-0.1,7.8
2020-01-23,108,4.6,0,9.9
2020-01-24,108,2.8,-1.3,7.4
2020-01-25,108,4.3,0.6,8.8
2020-01-26,108,5.5,-0.2,11.9
2020-01-27,108,5.9,4.8,7.5
2020-01-28,108,6.8,4.3,9.9
2020-01-29,108,6,3.2,9.6
2020-01-30,108,5.2,1.4,10.4
2020-01-31,108,3.9,1.4,8.9
2020-02-01,108,2.6,-1.2,7.6
2020-02-02,108,1.5,-2.1,5.3
2020-02-03,108,-0.4,-2.9,3
2020-02-04,108,-1.6,-6,3.9
2020-02-05,108,-8.3,-11,-4.9
2020-02-06,108,-6.4,-11.8,0.4
2020-02-07,108,-1.7,-7.2,2.2
2020-02-08,108,-0.1,-2.3,3.7
2020-02-09,108,-0.5,-5.6,4.1
2020-02-10,108,4,-0.7,9.6
2020-02-11,108,6.8,-0.5,14.6
2020-02-12,108,7.4,6.5,8.2
2020-02-13,108,6.5,4.9,8.7
2020-02-14,108,8.1,3.2,14.7
2020-02-15,108,9.8,6.2,15.6
2020-02-16,108,-1.4,-4.3,7.7
2020-02-17,108,-5.9,-7.1,-3.9
2020-02-18,108,-4.1,-8.3,1.3
2020-02-19,108,1,-4.4,6.4
2020-02-20,108,4.6,-0.6,10.8
2020-02-21,108,6.7,2.1,10.9
2020-02-22,108,4,0,7.9
2020-02-23,108,2.5,-2.5,8
2020-02-24,108,7,0.8,12.2
2020-02-25,108,6.7,4.7,9.4
2020-02-26,108,6.4,2.8,10.4
2020-02-27,108,6.1,1.3,12.5
2020-02-28,108,4.5,3.6,5.9
2020-02-29,108,7.7,4.5,13
2020-03-01,108,5.8,3.2,10.1
2020-03-02,108,3.4,0,7.6
2020-03-03,108,4.8,0.3,10.5
2020-03-04,108,2.2,-1.3,4.6
2020-03-05,108,1.4,-2.8,6.3
2020-03-06,108,3.7,-2.5,10.1
2020-03-07,108,7,1.3,14.2
2020-03-08,108,9.3,2.3,16.9
2020-03-09,108,11.1,4.8,17.6
2020-03-10,108,6.4,3.2,10.8
2020-03-11,108,3.8,0,8.3
2020-03-12,108,6.8,0.2,13.3
2020-03-13,108,4.9,-0.1,8.7
2020-03-14,108,3.6,-2.7,8.6
2020-03-15,108,4,0.2,8.5
2020-03-16,108,3.6,-2.1,9.1
2020-03-17,108,6.6,3.1,12.3
2020-03-18,108,10,2.7,17
2020-03-19,108,9.1,5.8,12.1
2020-03-20,108,8.8,3.1,14
2020-03-21,108,12.8,7.9,19.5
2020-03-22,108,11,6.1,16.5
2020-03-23,108,10.6,5.4,17
2020-03-24,108,11.4,5.3,17.9
2020-03-25,108,12.5,6.1,19.2
2020-03-26,108,14.8,8.1,20.6
2020-03-27,108,11.9,6.7,15.8
2020-03-28,108,7.7,4.5,12.8
2020-03-29,108,8.7,1.3,16.1
2020-03-30,108,10.2,4.3,16.9
2020-03-31,108,11.9,4.7,18.6
2020-04-01,108,11.3,6,17.4
2020-04-02,108,9.3,3.4,15.5
2020-04-03,108,10,5.3,16.3
2020-04-04,108,8.9,5,13.3
2020-04-05,108,7.2,1.9,13.7
2020-04-06,108,9.3,2.9,16.1
2020-04-07,108,10.6,6,16.8
2020-04-08,108,9.4,5.2,14.2
2020-04-09,108,8.9,4.3,14.7
2020-04-10,108,10.7,5.8,16.8
2020-04-11,108,9.9,6.2,16
2020-04-12,108,9.9,4.4,15.6
2020-04-13,108,12.4,4.3,20.4
